tenant_id,assembly_models,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M124,35,FAA AD AD 2010-11-05,Oxygen Cylinder - Inspection/ Replacement - To prevent an oxygen cylinder from rupturing,MIS,06-Jul-2010,DGCA/New Misc/124,,,0:00,,"Oxygen cylinders with a capacity of 114/115 cubic feet, approved under United States Department of Transportation Regulations for Type 3HT cylinders, identified in Table 1 of this AD. The affected oxygen cylinders may be installed as a component of, but not limited to, the AVOX Systems Inc. and B/E Aerospace cylinder assemblies listed in Table 2 of this AD."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,,61,FAA AD 2010-13-10,Propeller governors,MIS,01-Jul-2010,DGCA/New Misc/125,,,0:00,,"This AD applies to Ontic Engineering and Manufacturing, Inc. propeller governors, part numbers (P/Ns) C210776, T210761, D210760, and J210761"
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M126,23,EASA AD 2010-0186,Communication - Very High Frequency (VHF/AM) Transceiver -Modification,MIS,22-Sep-2010,DGCA/New Misc/126,,,0:00,,"Dittel Messtechnik GmbH, FSG 2T VHF/AM Airband Transceivers, Part Number (P/N) F10350, serial numbers (s/n) 35(X)-05100 through 35(X)-06462 inclusive, except units marked with Mod-Index: SB 1.06, and s/n 353-05172, 353-05189, 355-05557, 355-05696 and 356-05828."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M127,34,EASA AD 2010-0204 [Correction: 07 June 2011],Navigation Systems - Mode-S Transponder - Modification / Replacement,MIS,20-Oct-2010,DGCA/New Misc/127 R1,,,0:00,,"Rockwell Collins Mode S Transponders identified by type TDR-94/TDR-94D and Part Number (P/N) as listed in AD, when installed in combination with certain Rockwell Collins ADC as specified in AD, and the Rockwell Collins CSDB databus is being used to transfer altitude information between the ADC and the transponder(s)."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M127,34,EASA AD 2010-0204,Navigation Systems - Mode-S Transponder - Modification / Replacement,MIS,20-Oct-2010,DGCA/New Misc/127 R1,,,0:00,,"Rockwell Collins Mode S Transponders identified by type TDR-94/TDR-94D and Part Number (P/N) as listed in AD, when installed in combination with certain Rockwell Collins ADC as specified in AD, and the Rockwell Collins CSDB databus is being used to transfer altitude information between the ADC and the transponder(s)."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M128,27,EASA AD 2010-0233,Flight Controls - Turnbuckles - Inspection,MIS,10-Dec-2010,DGCA/New Misc/128,,,0:00,,"CAP10B and CAP10B with Major Change 000302 (commercial name CAP10C), all serial numbers."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M129,35,FAA AD 2011-01-09,Air Transport Association (ATA) of America Code 35: Oxygen.,MIS,09-Feb-2011,DGCA/New Misc/129,,,0:00,,"B/E Aerospace protective breathing equipment (PBE) units having part number (P/N) 119003-11. These PBE units may be installed on (or carried or stowed on board), but not limited to, various transport category airplanes, certificated in any category, identified in but not limited to the airplanes specified in Table 1 of this AD."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,,35,FAA AD 2011-01-09,Oxygen.,MIS,05-Jan-2011,DGCA/New Misc/129,,,0:00,,This AD applies to B/E Aerospace protective breathing equipment (PBE) units having part number (P/N) 119003-11.
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,,35,FAA AD 2012-11-09 R1,Oxygen.,MIS,27-Jul-2015,DGCA/New Misc/130 Rev 3,,,0:00,,"This AD applies to transport category airplanes, in passengercarrying operations i) Airplanes that complied with the requirements of AD 2011-04-09 2) Airplanes equipped with any chemical oxygen generator installed in any lavatory"
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M130,35,FAA AD 2012-11-09,"Air Transport Association (ATA) of America Code 35, Oxygen.",MIS,26-Jul-2012,DGCA/New Misc/130R2,,,0:00,,"Transport category airplanes, in passenger-carrying operations, that are equipped with any chemical oxygen generator installed in any lavatory."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M131,34,EASA AD 2011-0043,Navigation Systems - Mode-S Transponder Control Panels - Modification,MIS,30-Mar-2011,DGCA/New Misc/131,,,0:00,,"Airbus, BAE Systems, Boeing, Fokker, Lockheed, McDonnell Douglas, Sabreliner Corporation models, all serial numbers, if equipped with Gables Engineering type G7490, G7492 or G7493 series ATC/TCAS Control Panels."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M132,35,EASA AD 2011-0090R1,Oxygen - Oxygen Mask Regulator Inflatable Harness - Identification / Replacement,MIS,27-Jul-2011,DGCA/New Misc/132,,,0:00,,"Flight Crew Oxygen Masks Regulators, Manufactured by Intertechnique (part of Zodiac Aerospace), EROS, all Part Number (P/N) MA10, MC10, MC20, MF10, MF20, MLC20, MLD20, MRA005, MRA022 and MRA023 series. Note: The affected batches were installed on harnesses manufactured between Dec 2008 and Aug 2010."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M132,35,EASA AD 2011-0090R1,Oxygen - Oxygen Mask Regulator Inflatable Harness - Identification / Replacement,MIS,27-Jul-2011,DGCA/New Misc/132 R1,,,0:00,,"Flight Crew Oxygen Masks Regulators, Manufactured by Intertechnique (part of Zodiac Aerospace), EROS, all Part Number (P/N) MA10, MC10, MC20, MF10, MF20, MLC20, MLD20, MRA005, MRA022 and MRA023 series. Note: The affected batches were installed on harnesses manufactured between Dec 2008 and Aug 2010."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M133,25,EASA AD 2011-0094,Equipment and Furnishing - Life Jacket Vacuum Bag - Modification,MIS,06-Jun-2011,DGCA/New Misc/133,,,0:00,,"Life Jackets for Infant - Small Child, manufactured by Aerazur, Part Number (P/N) 216200-0, P/N 216203-0 and P/N 216204-0, having serial numbers (s/n) 28366 through 30739 inclusive."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M134,25,EASA AD 2011-0103,Equipment / Furnishings - Emergency Locator Transmitter (ELT) Antenna - Modification / Replacement,MIS*,03-Jun-2011,DGCA/New Misc/134,,,0:00,,"Tri-Band ELT antennas, Manuafctured by Chelton Limited (trading as Cobham Antenna Systems), Part Number (P/N) 21-41 ( ) series, all serial numbers (s/n) up to 12999 inclusive. Chelton P/N 21-41 ( ) series antennas installed in combination with the ELT Model ARTEX C406-N HM, P/N 453-5061/C406-N, P/N 453-5060 are not affected by this AD."
157b8d12-c115-446e-a4dc-d12077751fe2,5dbb8108-985b-436d-9416-ff74fc95aa39,M134,25,EASA AD 2011-0103,Equipment / Furnishings - Emergency Locator Transmitter (ELT) Antenna - Modification / Replacement,MIS*,30-Jun-2011,DGCA/New Misc/134,,,0:00,,"Tri-Band ELT antennas, Manuafctured by Chelton Limited (trading as Cobham Antenna Systems), Part Number (P/N) 21-41 ( ) series, all serial numbers (s/n) up to 12999 inclusive. Chelton P/N 21-41 ( ) series antennas installed in combination with the ELT Model ARTEX C406-N HM, P/N 453 5061/C406-N, P/N 453-5060 are not affected by this AD."
