assembly_models_name,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
BELL 429,429-17-36,21,Air Comm SB 429-201-1 Rev NC,"CONDENSER FAN MOTOR MOUNT FASTENER, INSPECTION OF.",SB,06-Mar-2017,ASB 429-17-36,,,0:00, ,Bell Helicopter Textron Canada Limited 429 Aircraft equipped with any Air Comm Corporation 429EC-200 or 429EC-202 Air Conditioning Systems.
BELL 429,429-17-37,24,ASB 429-17-37 RA,"ELECTRICAL INSTALLATION, INSPECTION OF",SB,12-Jun-2017,ASB 429-17-37 RA Part I,,,0:00, ,"Part I: Serial Numbers 57001 through 57179, 57181 through 57298, 57301, 57303, 57306,57309 through 57311, 57313, 57316,57317,57319. through 57298, 57301, 57303, 57306, 57309 through 57311, 57313, 57316, 57317, and 57319."
BELL 429,429-17-37,24,ASB 429-17-37 RA,"ELECTRICAL INSTALLATION, INSPECTION AND IMPROVEMENT OF",SB,12-Jun-2017,ASB 429-17-37 RA Part II,,,0:00, ,"Part II: Serial Numbers 57001 through 57301,57303 57304, 57306, 57308 through 57313, 57315 through 57320, 57327."
BELL 429,429-17-38,21,ASB 429-17-38 RB,"CONDENSER FAN MOTOR MOUNT FASTENER, INSPECTION OF.",SB,08-Nov-2017,ASB 429-17-38 RB,,,0:00, ,"Serial number 57001 through 57321, 57323, 57324, 57326 and 57327."
BELL 429,429-17-39,52,ASB 429-17-39,"NEW CREW DOOR HINGE SCREWS, INTRODUCTION OF",SB,19-Oct-2017,ASB 429-17-39,,,0:00, ,"Serial numbers 57001 through 57321, 57323, 57324, 57326 and, 57327."
BELL 429,429-18-40,64,429-18-40,"TAIL ROTOR GEARBOX INSTALLATION, INSPECTION AND ONE-TIME TORQUE CHECK OF.",SB,06-Jul-2018,ASB 429-18-40,,,0:00, ,"Serial numbers 57001 through 57321, 57323 through 57341, 57343 through 57346, 57348, and 57350. [Serial numbers 57322, 57342, 57347, 57349, 57351 and subsequent will have the intent of this bulletin accomplished prior to delivery.]"
BELL 429,429-18-41,66,ASB 429-18-41,"TAIL ROTOR GEARBOX ATTACHMENT HARDWARE RECURRING TORQUE CHECK, INTRODUCTION OF.",SB*,24-Jul-2018,ASB 429-18-41,,,0:00, ,Serial numbers 57001 and subsequent.
BELL 429,429-18-42,4,ASB 429-18-42,"CENTRIFUGAL FORCE BEARING 429-310-003- 103 AIRWORTHINESS LIFE LIMITATION, INTRODUCTION OF",SB,31-Jul-2018,ASB 429-18-42,,,0:00, ,Serial numbers 57001 through 57351. [Serial number 57352 and subsequent will have the intent of this bulletin accomplished prior to delivery.]
BELL 429,ASB 429-19-43 Rev B,62,ASB 429-19-43 Rev B,"MAIN ROTOR MAST ASSEMBLY 429-040-040-105 LOWER SPLINE INSPECTION, INTRODUCTION OF",SB,12-May-2022,ASB 429-19-43 Rev B,,,0:00, ,Serial numbers 57001 and subsequent.
BELL 429,429-19-44,20,ASB 429-19-44,"New horizontal Stabilizer Rib Clamp Screw, introduction of.",SB,18-Mar-2019,ASB 429-19-44,,,0:00, ,"Serial numbers 57295 through 57343, 57346 through 57357, 57359 and 57362 through 57365."
BELL 429,429-19-45,64,ASB 429-19-45,"429-012-120-101 CURVIC COUPLING, INSPECTION OF",SB,16-Apr-2019,ASB 429-19-45,,,0:00, ,"Serial numbers 57001 through 57343, 57346 through 57349, 57352 through 57356 and 57362."
BELL 429,429-19-46,20,ASB 429-19-46,"TRIM RUNAWAY EMERGENCY PROCEDURE, INTRODUCTION OF.",SB,30-Apr-2019,ASB 429-19-46,,,0:00, ,"Serial numbers 57001 through 57343, 57346 through 57357, 57359, 57362 through 57367."
BELL 429,429-19-47 Rev. A,65,ASB 429-19-47,"TAIL ROTOR GEARBOX SUPPORT RETAINING RIVETS, INSPECTION OF.",SB,02-Nov-2020,ASB 429-19-47,,,0:00, ,"Serial numbers 57002 through 57210, 57212 and subsequent."
BELL 429,ASB 429-19-47 Rev B,29,ASB 429-19-47 Rev B Part II,"TAIL ROTOR GEARBOX SUPPORT RETAINING RIVETS, INSPECTION OF.",SB*,27-Jan-2021,ASB 429-19-47 Rev B Part II,,,0:00, ,"Part I - Serial numbers 57002 through 57210, 57212 and subsequent."
BELL 429,ASB 429-19-47 Rev C,66,ASB 429-19-47 Rev C,"TAIL ROTOR GEARBOX SUPPORT RETAINING RIVETS, INSPECTION OF",SB,06-May-2025,ASB 429-19-47 Rev C,,,0:00, ,"Serial numbers 57002 through 57210, 57212 and subsequent"
