, ,53,FAA AD 2006-06-10,To prevent separation of the tail boom and subsequent loss of control,(X),14-Apr-2000,DGCA/Bell-407/0008,,,0:00, , ,Select,Edit,Delete,View
, ,55,AD CF 2000-09R1,To Prevent in Flight Slat Departure,(X),05-Sep-2002,DGCA/Bell-407,,,0:00, , ,Select,Edit,Delete,View
, ,63,TC AD CF 2001-24,K-Flex Drive Shaft,(X),28-Feb-2002,DGCA/Bell-407/012,,,0:00, , ,Select,Edit,Delete,View
, ,67,0.1,0.4,(X),05-Apr-2000,0.7,,,0:00, , ,Select,Edit,Delete,View
,"""DGCA / NEW MISCELLANEOUS / 153R16""",25,EASA AD 2015-0226R8,ATA 25 – Equipment / Furnishings – Hoist – Test / Replacement.,MIS,22-Jul-2025,"""DGCA / NEW MISCELLANEOUS / 153R16""",,,0:00, ,"This AD applies to the following helicopters, when equipped with a Goodrich hoist having a Part Number (P/N) as listed in Table 1 of this AD: Leonardo AW109SP, AB139, AW139 and AB412 (all models) helicopters, all serial numbers (s/n); BTI 212, 214 and 412 helicopters (all models), all s/n; BTCL 429 and 430 helicopters, all s/n; AH AS 365 N3, AS 332 L2 and EC225 LP helicopters, all s/n; AHD MBB-BK117 C-2, EC135 and EC635 (all models) helicopters, all s/n; MDHI MD900 helicopters, all s/n; and Sikorsky S-61 (all models), S-76A, S-76B, S-76C and S-92A helicopters, all s/n.",Select,Edit,Delete,View
,"""DGCA / NEW MISCELLANEOUS / 265""",25,FAA AD 2025-16-09,"Air Transport Association (ATA) of America Code:25, Equipment/Furnishings, or Joint Aircraft System Component (JASC) Code 2500, Cabin Equipment/Furnishing; and 2510, flight Compartment Equipment.",MIS,22-Aug-2025,"""DGCA / NEW MISCELLANEOUS / 265""",,,0:00, ,"This AD applies to all airplanes, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture (DOM) between January 2012 and April 2013 inclusive, or an unknown DOM. These buckle may be installed on, but not limited to, The Boeing Company model airplanes.",Select,Edit,Delete,View
,1999-04,63,TC AD CF-1999-04R1,"Time Limits and Maintenance Checks – Changes to Component Retirement Lives (This AD Supersedes AD CF-99-04, dated 2 April 1999).",AD,11-Feb-2016,TC AD CF-1999-04R1,,,0:00, ,"Bell Helicopter Textron Canada Ltd. (BHTC) model 407 helicopters, serial numbers 53000 and subsequent.",Select,Edit,Delete,View
,2010-33,64,ASB 407-10-93 Rev. A,Over-torque of Tailboom Attachment Hardware,AD*,13-Oct-2010,CF-2010-33,,,0:00, ,Bell Helicopter Textron Canada Ltd. Model 407 helicopter serial number 53000 through 53990.,Select,Edit,Delete,View
,2012-18-09,64,"ASB 407-10-93, Revision A",Joint Aircraft Service Component (JASC) Code: Rotorcraft tailboom.,AD*,17-Sep-2012,FAA AD 2012-18-09,,,0:00, ,"This AD applies to BHTC Model 407 he licopters, serial numbers 53000 through 53990, certificated in any category.",Select,Edit,Delete,View
,2015-17-02,63,ASB 407-01-45 Rev.B,Main Rotor Drive System,AD#,24-Sep-2015,FAA AD 2015-17-02,,,0:00, ,"This AD applies to Model 206L-4, 407, 427, and 429 helicopters with an engine-to-transmission driveshaft assembly (driveshaft), part number (P/N) 206-340-300-105, installed, certificated in any category",Select,Edit,Delete,View
,2016-21,65,ASB 407-16-113,Tail Rotor Drive System – Failure of Tail Rotor Drive Shaft Splined Connection,AD*,07-Jul-2016,TC AD CF-2016-21,,,0:00, ,Bell Helicopter Textron Canada Limited (BHTC) model 407 helicopters – all serial numbers.,Select,Edit,Delete,View
,2018-0002,46,Leonardo SB 139-500,ATA 46 – Information Systems – “Primus Epic” System Software – Software Update,AD,04-Jan-2018,TC AD: EU 2018-0002,,,0:00, ,"AB139 and AW139 helicopters, serial number (s/n) 31005, 31006, 31008 to s/n 31157 inclusive and s/n 41001 to s/n 41023 inclusive, and AW139 helicopters s/n 31201 onwards and s/n 41201 onwards, equipped with “Primus Epic” system software release 7.4 (Phase 7 V1) or 7.7 (Phase 7 V3) or 7.10 (Phase 7 V4), as applicable.",Select,Edit,Delete,View
,2018-10-06,65,ASB 407-16-113,Joint Aircraft Service Component (JASC) Code: 6510 Tail Rotor Drive Shaft,AD,21-May-2018,FAA AD 2018-10-06,,,0:00, ,"This AD applies to Bell Model 407 helicopters, certificated in any category.",Select,Edit,Delete,View
,2018-10-06,65,ASB 407-16-113,Tail Rotor Drive Shaft,AD*,21-May-2018,FAA AD 2018-10-06,,,0:00,Part of Form No: Bell 407/407GX/10,"This AD applies to Bell Model 407 helicopters, certificated in any category.",Select,Edit,Delete,View
,2018-16,25,ASB NO.407-15-111,Equipment / Furnishings – Seat Belt Comfort Clips Adverse Effect on Occupant Restraint,AD,28-Jun-2018,CF-2018-16,,,0:00, ,"Bell Helicopter Textron Canada Limited (BHTCL) model 206, 206A, 206A-1, 206B, 206B-1, 206L, 206L-1, 206L-3, 206L-4, 222, 222B, 222U, 230, 407, 427, 429 and 430 helicopters, all serial numbers",Select,Edit,Delete,View
,2018-25-17,21,AIRCOMM SB 407-110414 Rev B,"Joint Aircraft Service Component (JASC) Code: 2197, Air Conditioning System Wiring.",AD,07-Dec-2018,FAA AD 2018-25-17,,,0:00, ,"Bell Model 407 helicopters with an Air Comm air conditioning system P/N 407 EC-201, 407 EC-202, or 407 EC-203 installed.",Select,Edit,Delete,View
,2018-25-17,21,SB 407-110414,"Joint Aircraft Service Component (JASC) Code: 2197, Air Conditioning System Wiring.",AD,17-Dec-2018,FAA AD 2018-25-17,,,0:00, ,"Bell Model 407 helicopters with an Air Comm air conditioning system P/N 407 EC-201, 407 EC-202, or 407 EC-203 installed.",Select,Edit,Delete,View
,2019-01,20,CF-2019-01,"Standard Practices – Helicopter External Transport System (HETS™) - Unapproved Parts, Inadequate Service Life Limits and Maintenance Requirements",AD,08-Jan-2019,CF-2019-01,,,0:00, ,"HETS™ certified under Transport Canada Supplemental Type Certificate (STC) SH98-35, Issue 1 and Issue 2 installed on the following helicopter models: Bell Helicopter Textron Canada Ltd. model 206B, 206L, 206L-1, 206L-3, 206L-4 and 407.",Select,Edit,Delete,View
