part_no,description,part_type,location,min_stock_level,rate,unit,category,serialized_status
22431BC140L,Nut,Vendor Part,,0,0,EACH,Expendable,
22435BC050L,Nut,Vendor Part,,0,0,EACH,Expendable,
22435BC060L,Nut,Vendor Part,VIIID2,0,1.49,EACH,Expendable,
22451BC060L,Nut,Vendor Part,,0,0,EACH,Expendable,
22458CM120E,Nut,Vendor Part,,0,0,EACH,Expendable,
22461BC120L,Nut,Vendor Part,,0,0,EACH,Expendable,
225395-6,Connector,Vendor Part,,0,0,EACH,Expendable,
22541N050,Nut,Vendor Part,,0,0,EACH,Expendable,
22541N060,Nut,Vendor Part,,0,0,EACH,Expendable,
22541P040,Nut,Vendor Part,,0,0,EACH,Expendable,
22542K050,Nut,Vendor Part,,0,0,EACH,Expendable,
22542K060,Nut,Vendor Part,IXD8,0,0,EACH,Expendable,
22542K06012,Nut,Vendor Part,,0,0,EACH,Equipment,
22542K080,Nut,Vendor Part,XA5,0,2.09,EACH,Expendable,
225974-1,Connector,Vendor Part,,0,0,EACH,Expendable,
226K08-4,Tire,Vendor Part,,0,0,EACH,Expendable,
227198C060052L,Pin,Vendor Part,,0,0,EACH,Expendable,
22719BC060015L,Pin,Vendor Part,,0,0,EACH,Expendable,
22719BC060020L,Nut,Vendor Part,,0,0,EACH,Expendable,
22719BC060052L,Pin,Vendor Part,,0,0,EACH,Expendable,
22731BC060017M,Bolt,Vendor Part,,0,0,EACH,Expendable,
22731BC060019M,THREADED PIN,Vendor Part,,0,0,EACH,Expendable,
22731BC060020M,Bolt,Vendor Part,IXA5,0,0,EACH,Expendable,
22731BC060043M,THREADED PIN,Vendor Part,,0,0,EACH,Expendable,
22731BC080034M,Bolt,Vendor Part,,0,0,EACH,Expendable,
22731BC100057M,Bolt,Vendor Part,,0,0,EACH,Expendable,
22731DC0600201,Bolt,Vendor Part,,0,0,EACH,Expendable,
22733BC060044M,Pin,Vendor Part,,0,0,EACH,Expendable,
22827-3,Clamp,Vendor Part,,0,0,EACH,Expendable,
228K61-1,Tire Nose Gear,Alternate Part,,0,0,EACH,Expendable,
22A6000,Tacho Generator,Vendor Part,R2,0,0,EACH,Rotable,
22A656,Tacho Generator,Vendor Part,RS,0,0,EACH,Rotable,
22CTG,Grease,Vendor Part,,0,0,OZ,Consumable,
22FH524,Nut,Vendor Part,XA5,0,0,EACH,Expendable,
22FH624,Nut,Vendor Part,,0,0,EACH,Expendable,
22FH632,Nut,Vendor Part,,0,0,EACH,Expendable,
22FT1032,"Nut, Self Loacking",Vendor Part,XII D7,0,0,EACH,Expendable,
22MS-1.75LB,Grease,Vendor Part,FR,0,0,CAN,Consumable,
22MSCTG,Grease: Synthetic,Vendor Part,,0,0,OZ,Consumable,
22X6.75-10-10PLY RATING,"Tire, 10 Ply Rating, Good Year",Vendor Part,,0,0,EACH,Expendable,
22X6.75-10-8PLY RATING,"Tire, 8 ply Rating, Good Year",Vendor Part,R10,0,0,EACH,Expendable,
23001928-0,Stud,Vendor Part,,0,0,EACH,Expendable,
23001928-1,Stud,Vendor Part,,0,0,EACH,Expendable,
23001928-2,Stud,Vendor Part,,0,0,EACH,Expendable,
230-020-401-101,Cover,Vendor Part,,0,0,EACH,Expendable,
230-025-200-101,"Tube Assembly, RH",Vendor Part,,0,0,EACH,Expendable,
230-030-535-103,Rod Assembly,Vendor Part,,0,0,EACH,Expendable,
230-031-124-101,Pull Tab,Vendor Part,,0,0,EACH,Expendable,
230032-048,Starter Generator,Vendor Part,,0,0,EACH,Rotable,
230-044-003-101,SPACER,Vendor Part,,0,0,EACH,Consumable,
230-044-004-101,spring,Vendor Part,,0,0,Each.,Consumable,
23004514B,Seal,Vendor Part,,0,0,EACH,Expendable,
