tenant_id,franchise_id,assembly_models_name,assembly_models,aircraft_template_name,aircraft_template_id,registration,serial_number,directive_no,reference_amp,category_code,ata_code,code_form_no_and_description,last_done_on,work_order_number,notes,frequency,effective_from,current,elapsed,extension,due_at,due_at_airframe,remaining,is_applicable,directive_id,is_row_processed_success,failure_reason,processed_on
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / NEW MISCELLANEOUS /270R1,EASA AD No.: 2025-0294R1,MIS#,25,"DGCA / NEW MISCELLANEOUS / 270R1
ATA 25 - Equipment / Furnishings - Medical Seats - Modification",,,Not Applicable as Medical Seats are not Installed.,,9885:10 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/11,FAA AD 99-06-17,SB,24,"DGCA/PILATUS PC 12/11
INSTALLATION OF A CUT OFF RELAY",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 180,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / PILATUS PC-12 / 71,EASA AD No.: 2025-0271,MOD#,45,"DGCA / PILATUS PC-12 / 71
ATA 45 - Central Maintenance System - Central Computer / Primus APEX Operational Software - Modification",,,Not applicable as per the serial number of the aircraft. Aircraft serial number is 562.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 45-037 R1,SB 45-037 R1,SB#,45,"SB 45-037 R1
CENTRAL MAINTENANCE SYSTEM - CENTRAL COMPUTER CMC CONFIGURATION FILE UPDATE TO CMC_SW413_V4",,,Not applicable as per aircraft model. Aircraft model is Pilatus PC 12/45.,,9897:07 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / NEW MISCELLANEOUS / 267,EASA AD No.: 2025-0222,MIS#,35,"DGCA / NEW MISCELLANEOUS / 267
ATA 35 - Oxygen - Portable Breathing Equipment - Operational Instructions",,,Not applicable as PBE is not installed on the aircraft.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 33-027 R1,SB 33-027 R1,SB$,33,"SB 33-027 R1
LIGHTS - EXTERIOR LIGHTS REPLACEMENT OF BEACON LIGHTS FROM COLLINS AEROSPACE TO WHELEN AEROSPACE TECHNOLOGY (WAT)",,,Not applicable as per aircraft model. Aircraft model - Pilatus PC 12/45.,,9885:10 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/5,FAA AD98-08-26,MOD,28,"DGCA/PILATUS PC 12/5
ELECRICAL BONDING OF FUEL TANK ACCESS COVER",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 001 THRU 168,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/26,FAA AD 2003-11-17,MOD,25,"DGCA/PILATUS PC 12/26
TO INSPECT THE FRONT & REAR SURFACE OF THE PRESSURE DOME FOR DAMAGE & CRACKS",,,"N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 380, 382 THRU 385, 387 THRU395, 398 THRU 406, 408,409,413,415,417",,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / PILATUS PC-12 / 72,EASA EAD 2026-0065-E,MOD#,32,"DGCA / PILATUS PC-12 / 72
ATA 32 - Landing Gear - Emergency Autoland Braking System / Brake Pipe Assembly - Replacement",,,Not applicable as per aircraft model. Aircraft model is PILATUS PC-12/45 with serial number 562.,,9897:07 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA / NEW MISCELLANEOUS / 262,FAA AD 2025-07-01,MIS#,34,"DGCA / NEW MISCELLANEOUS / 262
Joint Aircraft System Component (JASC) Code 3417, Air Data Computer.",,,Not applicable as per aircraft model. Aircraft Model is Pilatus PC 12/45.,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,SB 45-037,SB 45-037,SB#,45,"SB 45-037
CENTRAL MAINTENANCE SYSTEM - CENTRAL COMPUTER CMC CONFIGURATION FILE UPDATE TO CMC_SW413_V4",,,Not applicable as per aircraft model. Aircraft model - Pilatus PC 12/45.,,9883:58 H,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/16,FAA AD 2000-02-31,MOD,25,"DGCA/PILATUS PC 12/16
TO PREVENT IMPROPER OPERATION OF STICK PUSHER SYSTEM",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN UPTO & INCLUDING 180,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/51,EASA AD: 2021-0214,MOD#,72,"DGCA/PILATUS PC 12/51
ENGINE CONTROLS-POWER CONTROL LEVER REVERSE THRUST LATCH - INSPECTION/MODIFICATION",,,N/A AS PER A/C S/N AND MODEL,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/12,FAA AD 99-14-03,MOD,24,"DGCA/PILATUS PC 12/12
RE-ROUTING OF POWER RETURN CABLES",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 230,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/18,FAA AD 2000-21-14,MOD,43,"DGCA/PILATUS PC 12/18
TORQUE OIL PRESSURE",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 301,,,9903:25 H,,,,9903:25 H,,,,,,
157b8d12-c115-446e-a4dc-d12077751fe2,91aa63f8-13f1-4d97-9495-50fa7818a72b,PC - 12/45,39d35649-fa38-477f-8e14-e78109fd1fed,Tmplt PC - 12/45,313afc67-f395-485a-9f6e-a6f21d025318,VT-ACG,562,DGCA/PILATUS PC 12/19,FAA AD 2000-26-17,MOD,92,"DGCA/PILATUS PC 12/19
WINSHIELD DEICE SYSTEM WIRES AND CIRCUIT BREAKERS",,,N/A AS PER A/C S/N. APPLICABLE FOR MSN 101 THRU 320,,,9903:25 H,,,,9903:25 H,,,,,,
