tenant_id,franchise_id ,,code_form_no,ata_code,reference_amp,description,category_code,estimated_man_hours,revision_status,interval_hours,interval_cycles,interval_months,calendar_unit (Enum) 
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,"Servo Mount (pitch, roll & yaw)",ROU*,0,Remove & clutch check,1000:00 H,,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Front Pressure bulkhead,ROU*,0,,4000:00 H,,4 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,AMM 12-A-05-40-01-06A-000B-A,Every 2400 Hours / 24 Months Airframe Inspection,ROU*,0,,2400:00 H,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,31,,RVSM Check,ROU*,0,,,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,74,,Ignitino-Spark igniter,ROU*,0,,200:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Cabin differential pressure switch,ROU*,0,Functional Check,,,5 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,24,,Gene-2 Drive Assy Housing Inspection,ROU*,0,Check,1000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,"Spectrum Aeromed ICA Manual 6045MM,Section J ,S/N 1",Every 12 Months,ROU*,0,,,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,"300 FH (12-A-05-40-01-01A-000B-A) & Items of inspection identified as “Minor” in EMM 72-00-00, Table 601. 300 FH / 12 M (12-A-05-40-01-02A-000B-A) 600 FH (12-A-05-40-01-03A-000B-A) 600 FH / 12 M (12-A-05-40-01-04A-000B-A) 1200 FH / 12 M (12-A-05-40-01-05A-000B-A) 2400 FH / 24 M (12-A-05-40-01-06A-000B-A)",1200 Hrs / 48 M,ROU*,0,,1200:00 H,,48 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,"AMM 12-A-05-40-01-01A-000B-A EMM Ch 72-00-00, Table 601",Every 300 Hours Inspection,ROU*,0,,300:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,1500 Hrs/60 M,ROU*,0,,1500:00 H,,60 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Fuselage internal bottom surface,ROU*,0,"Examine frames 10, 21, 24, 36 and frames adjacent to doors and to emergency exit, with insulation removed. If corrosion is found, examine all fuselage bottom surface with insulation removed. If insulation is wet, remove, dry and reinstall insulation",6000:00 H,,6 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Flap Cove Rib FIttings - AMM 12-A-27-51-01-00A-353A-A AMM 12-A-27-51-02-00A-353A-A AMM 12-A-27-51-03-00A-353A-A,ROU*,0,"Supplemental Structural Inspection Program (Eddy Current Inspection) & Repeat at 10,000 H/12,000 L",30000:00 H,39000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,DMC-12-A-05-10-10-00A- 281A-A,ELT Nav. Interface Unit Serial Memory Module,ROU*,0,,500:00 H,,6 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,MLG Trailing Link - CMM 02099,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM(Eddy Current Inspection) & Repeat at 8,300 H/10,000 L",25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Check the AGB internal Scavenge pump inlet screen,ROU*,0,,1000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Flap Actuator Black Color,ROU*,0,,1000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,53,,PTA attachment part,ROU*,0,,10000:00 H,,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,27,,Flap Actuator (Black Colour-4 nos),ROU*,0,Backlash Check,1000:00 H,,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Power plant,ROU*,0,Torque limiter test and performance test,500:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,Functional test (Ref.AMM12-A-21- 40-06-00A-903A-A),Over temperature switch,ROU*,0,,4800:00 H,,5 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Standby Magnetic Compass,ROU*,0,Check Swing,,,24 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 4000 Hours / 48 Months Rear pressure bulkhead Inspection,ROU*,0,,4000:00 H,,48 Mt,
