EnquiryID,EnquiryNo,CompanyName,NextActionDate,Remarks,Type,CurrentDate,,
226,INQ109891,Almurisi Corporation for Agriculture & Poultry,2020-12-15 00:00:00.000,reminder to be sent on 15th december,EnquiryDraft,2020-12-09 11:53:52.067,,
227,INQ109892,AMERICAN EXCESS INC.,2020-12-15 00:00:00.000,Reminder to  be sent on 15th december,EnquiryDraft,2020-12-09 14:29:35.773,,
228,INQ109893,AMERICAN FALCON INTERNATIONAL INC.,2020-12-16 00:00:00.000,Reminder to be sent on 16th December,EnquiryDraft,2020-12-10 09:47:00.990,,
229,INQ109894,American Textile System,2020-12-16 00:00:00.000,Reminder to be sent on 16th December,EnquiryDraft,2020-12-10 09:50:59.873,,
230,INQ109895,AMR IMPORT & EXPORT LLC,2020-12-16 00:00:00.000,reminder to be sent on 16th december,EnquiryDraft,2020-12-10 10:02:39.533,,
231,INQ109896,AMZ TRADING INC,2020-12-16 00:00:00.000,reminder to be sent on 16th december,EnquiryDraft,2020-12-10 11:25:00.907,,
232,INQ109897,ANYTHING IT,2020-12-16 00:00:00.000,reminder to be sent on 16th december,EnquiryDraft,2020-12-10 11:27:55.497,,
233,INQ109898,AQUA TITLE & mARBLE SHOWROOM,2020-12-16 00:00:00.000,reminder to be sent on 16th december,EnquiryDraft,2020-12-10 11:33:39.060,,
166,INQ109782,3A Solutions Canada Inc.,2020-12-24 00:00:00.000,Sent a follow up email- TR Next time call,EnquiryDraft,2020-12-10 11:37:12.333,,
234,INQ109899,Arcadia Consulting Services Inc.,2020-12-16 00:00:00.000,reminderb to be sent on 16th december,EnquiryDraft,2020-12-10 11:45:53.400,,
168,INQ109784,NULL,2020-12-24 00:00:00.000,Follow up email sent- TR  Call next time,EnquiryDraft,2020-12-10 12:20:15.273,,
172,INQ109794,A & I PRODUCTS,2020-12-24 00:00:00.000,Follow up email sent - TR call next time,EnquiryDraft,2020-12-10 12:24:22.723,,
169,INQ109785,"5R Processors, Ltd.",2020-12-24 00:00:00.000,follow up email sent -TR call next time,EnquiryDraft,2020-12-10 12:31:24.253,,
265,INQ109966,ALPHAELEC,2020-12-17 00:00:00.000,Reminder to be sent on 17th December,EnquiryDraft,2020-12-13 22:07:51.337,,
266,INQ109967,AMA Computer Supply,2020-12-17 00:00:00.000,Reminder to be sent on 17th of December,EnquiryDraft,2020-12-13 22:11:48.533,,
267,INQ109968,American Clothing,2020-12-17 00:00:00.000,Reminder to be sent on 17th of december,EnquiryDraft,2020-12-13 22:15:58.813,,
268,INQ109969,Arif A Al-Ashoor,2020-12-17 00:00:00.000,Reminder to be sent on 17th of december,EnquiryDraft,2020-12-13 22:32:57.497,,
